date,value
2023,66700000.0
2022,65700000.0
2021,65100000.0
2020,61400000.0
2019,54600000.0
2018,49500000.0
2017,42800000.0
2016,39000000.0
2015,37700000.0
2014,33600000.0
2013,31800000.0
2012,30700000.0
2011,28100000.0
2010,25000000.0
2009,19400000.0
2008,16300000.0
2007,11300000.0
2006,7340000.0
2005,4610000.0
2004,2550000.0
2003,1590000.0
2002,1190000.0
2001,600000.0
2000,127404.0
1999,23757.0
1998,10756.0
1997,6767.0
1996,2826.0
1995,2279.0
1994,1990.0
1993,1162.0
1992,1100.0
1991,0.0
1990,0.0
1989,0.0
1988,0.0
1987,0.0
1986,0.0
1985,0.0
1984,0.0
1983,0.0
1982,0.0
1981,0.0
1980,0.0
1979,0.0
1978,0.0
1977,0.0
1976,0.0
1975,0.0
